Person A,Person B,Connection,Source(s)
DONALD J. TRUMP,WILBUR ROSS,Nominee for Secretary of Commerce,General knowledge
DONALD TRUMP JR.,ANDRIY ZAIKA,"Met in 2006, when Zaika was head of the Ukrainian Construction Consortium",http://www.newsweek.com/2016/09/23/donald-trump-foreign-business-deals-national-security-498081.html
DONALD TRUMP JR.,BERNARD R. DIAMOND,Business partners,Nexis
DONALD TRUMP JR.,BONNIE HAYDON,Father-in-law/son-in-law,Nexis — NYT 11/19/2006
DONALD TRUMP JR.,FELIPE YARYURA,The Argentine real estate developer is said to be friends with the Trump family,http://www.lanacion.com.ar/1955208-la-emocion-del-socio-argentino-de-trump
DONALD TRUMP JR.,JASON D. GREENBLATT,Business partners,Nexis
DONALD TRUMP JR.,RUSSELL FLICKER,Business partners,Nexis
DONALD TRUMP JR.,VANESSA TRUMP,Married,General knowledge
DONALD TRUMP JR.,VIKTOR TKACHUK,"Met in 2006, when Tkachuk was an adviser to the Ukrainian president",http://www.newsweek.com/2016/09/23/donald-trump-foreign-business-deals-national-security-498081.html
ELVIRA KUDRYASHOVA,VIKTOR KHRAPUNOV,Parent/child,https://www.ft.com/content/33285dfa-9231-11e6-8df8-d3778b55a923
ERIC TRUMP,FELIPE YARYURA,The Argentine real estate developer is said to be friends with the Trump family; Yaryura and Eric Trump were photographed together at Trump's election night party,http://www.lanacion.com.ar/1955208-la-emocion-del-socio-argentino-de-trump
ERIK PRINCE,BETSY DEVOS,Siblings,https://theintercept.com/2017/01/17/notorious-mercenary-erik-prince-is-advising-trump-from-the-shadows/
ERIK PRINCE,STEPHEN BANNON,"""Prince has a close relationship with Breitbart News and Steve Bannon,"" per The Intercept",https://theintercept.com/2017/01/17/notorious-mercenary-erik-prince-is-advising-trump-from-the-shadows/
FELIX SATER,ELVIRA KUDRYASHOVA,"Sater ""agreed to serve as [a director] of a company through which [Kudryashova] would pour $3m into a business venture as part of her efforts to secure a US investor visa,"" per the Financial Times",https://www.ft.com/content/33285dfa-9231-11e6-8df8-d3778b55a923
GEORGE SOROS,STEVEN MNUCHIN,Mnuchin worked for Soros' fund,http://www.vanityfair.com/news/2016/11/george-soros-declares-war-on-trump
GEORGE T. CONWAY III,KELLYANNE CONWAY,Married,General knowledge
ILYAS KHRAPUNOV,VIKTOR KHRAPUNOV,Parent/child,https://www.ft.com/content/33285dfa-9231-11e6-8df8-d3778b55a923
IVANKA TRUMP,ANDRIY ZAIKA,"Met in 2006, when Zaika was head of the Ukrainian Construction Consortium",http://www.newsweek.com/2016/09/23/donald-trump-foreign-business-deals-national-security-498081.html
IVANKA TRUMP,DINA POWELL,"Ivanka Trump ""has been leaning on [Powell] ... as a top adviser on policy and staffing,"" per Politico",http://www.politico.com/story/2017/01/ivanka-trump-goldman-sachs-233234
IVANKA TRUMP,FELIPE YARYURA,The Argentine real estate developer is said to be friends with the Trump family,http://www.lanacion.com.ar/1955208-la-emocion-del-socio-argentino-de-trump
IVANKA TRUMP,JARED KUSHNER,Married,General knowledge
IVANKA TRUMP,MEHMET ALI YALCINDAG,Business partners,http://www.nytimes.com/2016/11/26/us/politics/donald-trump-international-business.html
IVANKA TRUMP,PAULO FIGUEIREDO FILHO,"Lunched together, spawning Trump interest in Rio hotel",http://www.nytimes.com/2016/11/26/us/politics/donald-trump-international-business.html
IVANKA TRUMP,VIKTOR TKACHUK,"Met in 2006, when Tkachuk was an adviser to the Ukrainian president",http://www.newsweek.com/2016/09/23/donald-trump-foreign-business-deals-national-security-498081.html
JARED KUSHNER,ASHER ABEHSERA,Partnered with Kushner in Brooklyn projects,http://nymag.com/daily/intelligencer/2017/01/jared-kushner-trump-administration-power.html
JARED KUSHNER,CHARLES KUSHNER,Parent/child,General knowledge
JARED KUSHNER,DARA ORBACH,Siblings,http://www.townandcountrymag.com/society/politics/news/a9244/charles-jared-kushner-family/
JARED KUSHNER,MARGARET CHIN,Donor,http://thevillager.com/2013/07/25/the-billionaires-back-margaret-chin-for-city-council/
JARED KUSHNER,MARTIN SORRELL,Friends,http://nymag.com/daily/intelligencer/2017/01/jared-kushner-trump-administration-power.html
JARED KUSHNER,MILES BERGER,"""business partner of the Kushners,"" per New York Magazine",http://nymag.com/daily/intelligencer/2017/01/jared-kushner-trump-administration-power.html
JARED KUSHNER,NICOLE KUSHNER MEYER,Siblings,http://www.townandcountrymag.com/society/politics/news/a9244/charles-jared-kushner-family/
JARED KUSHNER,ROB SPEYER,Gave Kushner $50 million to help by a property from his father's company-Tishman Speyer,http://nymag.com/realestate/features/53797/index5.html
JARED KUSHNER,STRAUSS ZELNICK,"""close with Kushner,"" per New York Magazine",http://nymag.com/daily/intelligencer/2017/01/jared-kushner-trump-administration-power.html
JEFF SESSIONS,AJIT PAI,Former deputy chief counsel,https://www.fcc.gov/about/leadership/ajit-pai
JEFF SESSIONS,GARRETT MURCH,Former communications advisor,http://www.politico.com/magazine/story/2016/06/stephen-miller-donald-trump-2016-policy-adviser-jeff-sessions-213992 | https://www.linkedin.com/in/garrett-murch-9800b928
JEFF SESSIONS,RICK DEARBORN,Former chief of staff,http://www.cnn.com/2017/01/04/politics/bill-stepien-chris-christie-donald-trump-white-house/
JOSE E.B. ANTONIO,"JOSE ROBERTO ""ROBBIE"" ANTONIO",Parent/child,http://www.nytimes.com/2016/11/26/us/politics/donald-trump-international-business.html?_r=0
JOSEPH MEYER,NICOLE KUSHNER MEYER,Married,http://nymag.com/daily/intelligencer/2013/01/jared-kushner-names-brother-in-law-observer-ceo.html
JOSHUA KUSHNER,DARA ORBACH,Siblings,http://www.townandcountrymag.com/society/politics/news/a9244/charles-jared-kushner-family/
JOSHUA KUSHNER,JARED KUSHNER,Siblings,General knowledge
JOSHUA KUSHNER,NICOLE KUSHNER MEYER,Siblings,http://www.townandcountrymag.com/society/politics/news/a9244/charles-jared-kushner-family/
LEV LEVIEV,VLADIMIR PUTIN,"Described him as a ""true friend""",http://www.nytimes.com/2007/09/16/magazine/16Leviev-t.html
LUCIUS JOSEPH RICCIO,RHONA GRAFF RICCIO,Married,General knowledge
MARK BURNETT,ROMA DOWNEY,Married,General knowledge
MARYANNE TRUMP BARRY,KEVIN MARINO,Marino served as Barry's law clerk,http://www.khmarino.com/attorney_bio_marino.html
MATTHEW CALAMARI,"MATTHEW CALAMARI, JR.",Parent/child,https://www.nytimes.com/2016/12/25/us/politics/trump-organization-business.html?_r=0
MEHMET ALI YALCINDAG,AYDIN DOGAN,Father-in-law/son-in-law,http://www.hurriyetdailynews.com/a-major-shake-up-at-dogan-media.aspx?PageID=238&NID=104450&NewsCatID=345
MICHAEL FASCITELLI,DONALD J. TRUMP,Fascitelli is CEO of Vornado Realty Trust and donated the maximum to Trump's campaign,https://www.bloomberg.com/news/features/2017-01-27/jared-kushner-s-felon-father-brought-two-fellow-inmates-into-company
MICHELLE BACHMANN,STEPHEN MILLER,Worked for her,http://www.politico.com/magazine/story/2016/06/stephen-miller-donald-trump-2016-policy-adviser-jeff-sessions-213992
MICK MULVANEY,PAM MULVANEY,Married,http://www.usnews.com/news/articles/2011/02/22/10-things-you-didnt-know-about-mick-mulvaney
MIKE PENCE,DONALD J. TRUMP,Vice President,General knowledge
MIKE PENCE,JEN PAVLIK,Deputy chief of staff,http://www.cnn.com/2017/01/04/politics/bill-stepien-chris-christie-donald-trump-white-house/
MIKE PENCE,JOSH PITCOCK,Chief of staff,http://www.cnn.com/2017/01/04/politics/bill-stepien-chris-christie-donald-trump-white-house/
MIKE PENCE,MARC SHORT,"""Longtime aide,"" per CNN",http://www.cnn.com/2017/01/04/politics/bill-stepien-chris-christie-donald-trump-white-house/
MITCH MCCONNELL,ELAINE CHAO,Married,http://elainelchao.com/biography/
NICOLAS SARKOZY,THOMAS J. BARRACK JR.,Sarkozy awarded France's Chevalier de la Légion d'Honneur to Barrack,http://colonyinc.com/about#fulltext4
NICOLE KUSHNER MEYER,DARA ORBACH,Siblings,http://www.townandcountrymag.com/society/politics/news/a9244/charles-jared-kushner-family/
OMAROSÉ ONEE MANIGAULT,ALBERT ROSS SR.,Mentored by,http://www.omarosa.com/#
OMAROSÉ ONEE MANIGAULT,H. B. HICKS,Mentored by,http://www.omarosa.com/#
PAUL MANAFORT,ABDUL RAHMAN AL-ASSIR,Manafort secured a loan from al-Assir,https://www.washingtonpost.com/politics/in-business-as-in-politics-trump-adviser-no-stranger-to-controversial-figures/2016/04/26/970db232-08c7-11e6-b283-e79d81c63c1b_story.html?utm_term=.de35331c8594
PAUL MANAFORT,ARTHUR G. COHEN,"""negotiated a deal to buy the site of the Drake Hotel on Park Avenue in Manhattan,"" per the New York Times",https://www.nytimes.com/2016/08/01/us/paul-manafort-ukraine-donald-trump.html
PAUL MANAFORT,DMITRY FIRTASH,Worked together in bid for site of Drake Hotel in NYC,https://www.washingtonpost.com/politics/in-business-as-in-politics-trump-adviser-no-stranger-to-controversial-figures/2016/04/26/970db232-08c7-11e6-b283-e79d81c63c1b_story.html?utm_term=.de35331c8594
PAUL MANAFORT,DMYTRO FIRTASH,"Manafort and Firtash, ""an oligarch who made billions as a middleman for Gazprom,"" were partners in ""a deal to buy the site of the Drake Hotel on Park Avenue in Manhattan,"" per the New York Times",https://www.nytimes.com/2016/08/01/us/paul-manafort-ukraine-donald-trump.html
PAUL MANAFORT,RINAT AKHMETOV,Manafort worked to improve image of Akhmetov's companies,https://www.nytimes.com/2016/08/01/us/paul-manafort-ukraine-donald-trump.html
PAUL MANAFORT,SERHIY LYOVOCHKIN,Manafort ran PR for Lyovochkin's campaign,https://www.nytimes.com/2016/08/01/us/paul-manafort-ukraine-donald-trump.html
PAUL MANAFORT,VIKTOR F. YANUKOVYCH,Manafort ran PR for Yanukovych's campaign,https://www.nytimes.com/2016/08/01/us/paul-manafort-ukraine-donald-trump.html
REBEKAH MERCER,KELLYANNE CONWAY,"""They're close,"" per The Atlantic",https://www.theatlantic.com/politics/archive/2017/01/no-one-knows-what-the-powerful-mercers-really-want/514529/
REBEKAH MERCER,STEPHEN BANNON,"""Tied at the hip,"" per a source to The Hill",http://thehill.com/homenews/campaign/291772-billionaire-father-and-daughter-linked-to-trump-shakeup
REINCE PRIEBUS,KATIE WALSH,Deputy chief of staff,http://www.cnn.com/2017/01/04/politics/bill-stepien-chris-christie-donald-trump-white-house/
REX TILLERSON,ALEXANDER NOVAK,"""Tillerson lowered his profile in Russia but continued to meet with non-sanctioned high-level Russian officials in Moscow, including Russian Energy Minister Alexander Novak,"" per the Washington Post",https://www.washingtonpost.com/news/josh-rogin/wp/2016/12/13/inside-rex-tillersons-long-romance-with-russia/?utm_term=.37f238834d71
REX TILLERSON,IGOR SECHIN,"""Tillerson, the CEO of ExxonMobil, has a close and personal relationship with Sechin dating back over a decade,"" per the Washington Post",https://www.washingtonpost.com/news/josh-rogin/wp/2016/12/13/inside-rex-tillersons-long-romance-with-russia/?utm_term=.37f238834d71
REX TILLERSON,VLADIMIR PUTIN,"In 2012, Putin awarded Order of Friendship to Tillerson",http://www.politico.com/magazine/story/2016/12/rex-tillerson-exxon-putin-russia-ties-friend-214515
RHONA GRAFF RICCIO,DONALD J. TRUMP,Assistant,http://www.nytimes.com/1993/04/19/style/weddings-rhona-c-graff-lucius-j-riccio.html
RICHARD DEVOS,BETSY DEVOS,Parent/child,General knowledge
RICHARD GOETTLICH,JARED KUSHNER,Kushner hired him for his real estate company,https://www.bloomberg.com/news/features/2017-01-27/jared-kushner-s-felon-father-brought-two-fellow-inmates-into-company
"RICHARD MARVIN ""DICK"" DEVOS JR.",BETSY DEVOS,Married,General knowledge
RICK PERRY,ANITA THIGPEN PERRY,Married,http://thehill.com/policy/healthcare/182135-perrys-addition-to-the-white-house-his-wife-health-advocate-anita-perry
RICK PERRY,PETER HOLT,"Perry consulted for Holt, after governorship to which Holt gave money",https://www.texastribune.org/2015/07/10/perry-consulting-big-donor-disclosures/
ROBERT LIGHTHIZER,BOB DOLE,Lighthizer was Dole's campaign treasurer in 1996,http://www.pbs.org/newshour/rundown/trump-nominates-robert-lighthizer-u-s-trade-representative/
ROBERT MERCER,REBEKAH MERCER,Parent/child,https://www.washingtonpost.com/politics/the-rise-of-gop-mega-donor-rebekah-mercer/2016/09/13/85ae3c32-79bf-11e6-beac-57a4a412e93a_story.html?utm_term=.b4e577d44785
"ROGER J. STONE, JR.",JULIAN ASSANGE,"Stone told the Guardian that he and Assange have a ""mutual friend"" who served as a backchannel for advance notice of WikiLeaks' Clinton-related releases",https://www.theguardian.com/us-news/2016/nov/02/trump-adviser-clinton-emails-wikileaks-roger-stone
RUDY GIULIANI,KEN KURSON,Worked on 2008 presidential campaign,http://nymag.com/daily/intelligencer/2017/01/jared-kushner-trump-administration-power.html
SALLY PRIEBUS,REINCE PRIEBUS,Married,General knowledge
SAM BROWNBACK,AJIT PAI,Former chief counsel,https://www.fcc.gov/about/leadership/ajit-pai
SCOTT PRUITT,HAROLD G. HAMM,"Hamm, chief executive of Continental Energy, was Pruitt's 2013 re-election co-chair",http://www.cnbc.com/2016/12/08/scott-pruitt-is-great-pick-to-lead-epa-says-pruitt-ally-harold-hamm.html
SERGEI MILLIAN,DONALD J. TRUMP,Appeared in a Facebook photo together in 2014,https://www.ft.com/content/ea52a678-9cfb-11e6-8324-be63473ce146
SERGEI MILLIAN,VLADIMIR PUTIN,Putin awarded Millian a prize in Jan. 2015 for developing ties between Russia and American businesspeople,https://www.ft.com/content/ea52a678-9cfb-11e6-8324-be63473ce146
SERGEI MILLIAN,YURY ZAYTSEV,Went on trip to Moscow together in 2011,https://www.ft.com/content/ea52a678-9cfb-11e6-8324-be63473ce146
SERGEY KISLYAK,MICHAEL FLYNN,"""in frequent contact,"" per Jan. 13, 2017 Associated Press article",http://bigstory.ap.org/article/ba462d64c12d4692b8381cb7076d34ab/ap-source-trump-aide-frequent-contact-russia-envoy
SERYL KUSHNER,DARA ORBACH,Parent/child,http://www.townandcountrymag.com/society/politics/news/a9244/charles-jared-kushner-family/
SERYL KUSHNER,NICOLE KUSHNER MEYER,Parent/child,http://www.townandcountrymag.com/society/politics/news/a9244/charles-jared-kushner-family/
SETYA NOVANTO,HARY TANOESOEDIBJO,"Setya (former speaker of the Indonesian House of Representatives) is a ""good friend"" of Hary (a Trump partner on Indonesia resorts), per the New York Times",https://www.nytimes.com/2016/12/31/world/asia/indonesia-donald-trump-resort.html?_r=0
SHANNON MCGAHN,DON MCGAHN,Married,General knowledge
STEPHEN MILLER,DAVID HOROWITZ,"""Miller considers Horowitz a mentor,"" per Politico",http://www.politico.com/magazine/story/2016/06/stephen-miller-donald-trump-2016-policy-adviser-jeff-sessions-213992
STEPHEN MILLER,JEFF SESSIONS,Former chief of communications,http://www.politico.com/magazine/story/2016/06/stephen-miller-donald-trump-2016-policy-adviser-jeff-sessions-213992
STEVEN MNUCHIN,EDWARD LAMPERT,Former college roommates; Mnuchin has a position in an entity connected to Lampert,https://www.washingtonpost.com/news/wonk/wp/2017/01/19/treasury-nominee-initially-omitted-more-than-100-million-from-disclosures-democratic-memo-shows/?postshare=3221484835948504&tid=ss_tw&utm_term=.e7b4eb5ed0a8
SUSAN POMPEO,MICHAEL POMPEO,Married,http://pompeo.house.gov/biography/
TERRY BRANSTAD,XI JINPING,"Brandstad and the Chinese president have a ""friendship dating back to 1985,"" per Bloomberg Politics",https://www.bloomberg.com/politics/articles/2016-12-07/trump-said-to-pick-iowa-governor-branstad-as-china-ambassador
TIAH JOO KIM,TONY TIAH THEE KIAN,Parent/child,https://www.washingtonpost.com/classic-apps/high-rollers-risk-takers-and-rule-benders-donald-trumps-unorthodox-roster-of-overseas-business-partners/2017/01/13/73797ab6-cc37-11e6-b8a2-8c2a61b0436f_story.html?utm_term=.c2f475ce19c6
VLADIMIR PUTIN,ALEXANDER NOVAK,Energy minister,https://www.washingtonpost.com/news/josh-rogin/wp/2016/12/13/inside-rex-tillersons-long-romance-with-russia/?utm_term=.37f238834d71
VLADIMIR PUTIN,IGOR SECHIN,Former deputy prime minister,https://www.ft.com/content/a8f24922-cef4-11e3-9165-00144feabdc0
WILBUR ROSS,RUDY GIULIANI,Privatization advisor when Giuliani was mayor,http://www.salon.com/2016/11/21/wilbur-ross-jr-rumored-to-be-donald-trumps-choice-for-commerce-secretary-owned-a-mine-where-12-miners-died-in-2006_partner/
WU XIAOHUI,ZHUO RAN,"Married. (Zhuo is the granddaughter of Deng Xiaoping, the former leader of the People's Republic of China. Wu is the chairman of the Anbang Insurance Group, which has been in business discussions with the Kushners.)",https://www.nytimes.com/2017/01/07/us/politics/jared-kushner-trump-business.html
